2015-02-05 00:45:54, WIN-M4BNKTIO76D, PE_file, yaramem, None, 312
2015-02-06 12:12:21, WIN8-TEST, PE_file, yaramem, ielowutil.exe, 5108

2015-02-06 12:24:31, WIN8-TEST, PE_file, yaramem, explorer.exe, 1312

2015-02-06 12:24:31, WIN8-TEST, PE_file, yaramem, conhost.exe, 1492

2015-02-06 12:24:31, WIN8-TEST, PE_file, yaramem, TPAutoConnect.exe, 1600

2015-02-06 12:24:32, WIN8-TEST, PE_file, yaramem, cmd.exe, 1772

2015-02-06 12:24:32, WIN8-TEST, PE_file, yaramem, cmd.exe, 2436

2015-02-06 12:24:33, WIN8-TEST, PE_file, yaramem, taskhostex.exe, 2876

2015-02-06 12:24:33, WIN8-TEST, PE_file, yaramem, conhost.exe, 3148

2015-02-06 12:24:34, WIN8-TEST, PE_file, yaramem, SettingSyncHost.exe, 3244

2015-02-06 12:24:34, WIN8-TEST, PE_file, yaramem, cmd.exe, 3276

2015-02-06 12:24:34, WIN8-TEST, PE_file, yaramem, RuntimeBroker.exe, 3420

2015-02-06 12:24:35, WIN8-TEST, PE_file, yaramem, vmtoolsd.exe, 3496

2015-02-06 12:24:35, WIN8-TEST, PE_file, yaramem, conhost.exe, 3548

2015-02-06 12:24:36, WIN8-TEST, PE_file, yaramem, WSHost.exe, 3676

2015-02-06 12:24:36, WIN8-TEST, PE_file, yaramem, conhost.exe, 3684

2015-02-06 12:24:39, WIN8-TEST, PE_file, yaramem, WWAHost.exe, 4280

2015-02-06 12:24:39, WIN8-TEST, PE_file, yaramem, ielowutil.exe, 5108

2015-02-06 12:26:35, WIN8-TEST, PE_file, yaramem, C:\Windows\explorer.exe, 1312

2015-02-06 12:26:35, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\conhost.exe, 1492

2015-02-06 12:26:35, WIN8-TEST, PE_file, yaramem, C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe, 1600

2015-02-06 12:26:35, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\cmd.exe, 1772

2015-02-06 12:26:36, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\cmd.exe, 2436

2015-02-06 12:26:36, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\taskhostex.exe, 2876

2015-02-06 12:26:36, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\conhost.exe, 3148

2015-02-06 12:26:37, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\SettingSyncHost.exe, 3244

2015-02-06 12:26:37, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\cmd.exe, 3276

2015-02-06 12:26:38, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\RuntimeBroker.exe, 3420

2015-02-06 12:26:38, WIN8-TEST, PE_file, yaramem, C:\Program Files\VMware\VMware Tools\vmtoolsd.exe, 3496

2015-02-06 12:26:39, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\conhost.exe, 3548

2015-02-06 12:26:39, WIN8-TEST, PE_file, yaramem, C:\Windows\WinStore\WSHost.exe, 3676

2015-02-06 12:26:39, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\conhost.exe, 3684

2015-02-06 12:26:41, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\WWAHost.exe, 4280

2015-02-06 12:26:41, WIN8-TEST, PE_file, yaramem, C:\Program Files (x86)\Internet Explorer\ielowutil.exe, 5108

2015-02-06 12:41:11, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01.zip

2015-02-06 12:41:11, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01.zip

2015-02-06 12:41:11, WIN8-TEST, PE_file, yaradisk, ./suspicious.yar

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\01\12eba29ffd2ea17bf68559b6823936c8f521ad

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\05\c9454eec818d6a03d25cea4c2913aa019a85c2

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\0d\b669b9ecbdcca28e04a8639a936cb76be3a36d

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\11\1dc56a791acc4b2d360b4b153c9a4eed57c23a

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\16\b0dae5c63289545ab3605ce252c772dae73011

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\23\8cf17cafb2b7c7c6ab522565911857e0730551

2015-02-06 12:41:12, WIN8-TEST, PE_file, yaradisk, ./.git\objects\39\9173ab0fc44906516861ee2fb546d8dafcfa33

2015-02-06 12:41:13, WIN8-TEST, PE_file, yaradisk, ./.git\objects\3e\03d9009edc17a3ed043b44ccabc57bb7e4ae12

2015-02-06 12:41:13, WIN8-TEST, PE_file, yaradisk, ./.git\objects\41\2aba4e9c837045f405fa2c09b477bd95ce54a9

2015-02-06 12:41:13, WIN8-TEST, PE_file, yaradisk, ./.git\objects\62\48542b2d34fa0050c760749686078459f21839

2015-02-06 12:41:13, WIN8-TEST, PE_file, yaradisk, ./.git\objects\65\b7888c61df39d59ff6a8042fef7172cf1a39c2

2015-02-06 12:41:13, WIN8-TEST, PE_file, yaradisk, ./.git\objects\70\b5e84333fb0bc764427bb73cc80a2c40bae7de

2015-02-06 12:41:14, WIN8-TEST, PE_file, yaradisk, ./.git\objects\8c\e7540ae126794fd130c8e29c49e489776c3e1f

2015-02-06 12:41:14, WIN8-TEST, PE_file, yaradisk, ./.git\objects\9a\0d90a867e0343bf35673d9d79044ed89341297

2015-02-06 12:41:14, WIN8-TEST, PE_file, yaradisk, ./.git\objects\a5\84ea2834493f10d1d40cf680b70175e095e409

2015-02-06 12:41:14, WIN8-TEST, PE_file, yaradisk, ./.git\objects\b0\22cad69acbad42f12c4cf9891a0ba3aeca56cf

2015-02-06 12:41:15, WIN8-TEST, PE_file, yaradisk, ./.git\objects\ba\42d426877ad67e7e59418b87bf569f0bd528d9

2015-02-06 12:41:15, WIN8-TEST, PE_file, yaradisk, ./.git\objects\bd\69d1d238f07705ccd902c4f799642c40f7ad10

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_hashlib.pyd

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_socket.pyd

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_ssl.pyd

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\bz2.pyd

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\python27.dll

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\rastrea2r_server.exe

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\select.pyd

2015-02-06 12:41:17, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\suspicious.yar

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\unicodedata.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\w9xpopen.exe

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_ctypes.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_hashlib.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_socket.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_ssl.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_win32sysloader.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\API-MS-Win-Core-LocalRegistry-L1-1-0.dll

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\bz2.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\MPR.dll

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pyexpat.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\python27.dll

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pythoncom27.dll

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pywintypes27.dll

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\rastrea2r_win32.exe

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\select.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\unicodedata.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\w9xpopen.exe

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32api.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32pipe.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32ui.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32wnet.pyd

2015-02-06 12:41:18, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\yara.pyd

2015-02-06 12:41:22, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01.zip

2015-02-06 12:41:22, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01.zip

2015-02-06 12:41:22, WIN8-TEST, PE_file, yaradisk, ./suspicious.yar

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\01\12eba29ffd2ea17bf68559b6823936c8f521ad

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\05\c9454eec818d6a03d25cea4c2913aa019a85c2

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\0d\b669b9ecbdcca28e04a8639a936cb76be3a36d

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\11\1dc56a791acc4b2d360b4b153c9a4eed57c23a

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\16\b0dae5c63289545ab3605ce252c772dae73011

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\23\8cf17cafb2b7c7c6ab522565911857e0730551

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\39\9173ab0fc44906516861ee2fb546d8dafcfa33

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\3e\03d9009edc17a3ed043b44ccabc57bb7e4ae12

2015-02-06 12:41:23, WIN8-TEST, PE_file, yaradisk, ./.git\objects\41\2aba4e9c837045f405fa2c09b477bd95ce54a9

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\62\48542b2d34fa0050c760749686078459f21839

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\65\b7888c61df39d59ff6a8042fef7172cf1a39c2

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\70\b5e84333fb0bc764427bb73cc80a2c40bae7de

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\8c\e7540ae126794fd130c8e29c49e489776c3e1f

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\9a\0d90a867e0343bf35673d9d79044ed89341297

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\a5\84ea2834493f10d1d40cf680b70175e095e409

2015-02-06 12:41:24, WIN8-TEST, PE_file, yaradisk, ./.git\objects\b0\22cad69acbad42f12c4cf9891a0ba3aeca56cf

2015-02-06 12:41:25, WIN8-TEST, PE_file, yaradisk, ./.git\objects\ba\42d426877ad67e7e59418b87bf569f0bd528d9

2015-02-06 12:41:25, WIN8-TEST, PE_file, yaradisk, ./.git\objects\bd\69d1d238f07705ccd902c4f799642c40f7ad10

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_hashlib.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_socket.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\_ssl.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\bz2.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\python27.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\rastrea2r_server.exe

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\select.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\suspicious.yar

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\unicodedata.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_server_v01\w9xpopen.exe

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_ctypes.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_hashlib.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_socket.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_ssl.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\_win32sysloader.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\API-MS-Win-Core-LocalRegistry-L1-1-0.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\bz2.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\MPR.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pyexpat.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\python27.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pythoncom27.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\pywintypes27.dll

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\rastrea2r_win32.exe

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\select.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\unicodedata.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\w9xpopen.exe

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32api.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32pipe.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32ui.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\win32wnet.pyd

2015-02-06 12:41:27, WIN8-TEST, PE_file, yaradisk, ./rastrea2r_win32_v01\yara.pyd

2015-02-06 12:41:38, WIN8-TEST, PE_file, yaramem, C:\Windows\explorer.exe, 1312

2015-02-06 12:41:38, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\conhost.exe, 1492

2015-02-06 12:41:38, WIN8-TEST, PE_file, yaramem, C:\Program Files\VMware\VMware Tools\TPAutoConnect.exe, 1600

2015-02-06 12:41:38, WIN8-TEST, PE_file, yaramem, C:\Windows\System32\cmd.exe, 1772

